index,Expected Salary,CGPA,10th Percentage,12th Percentage,Branch,Certifications,Level of Participation,Communication Proficiency,Programming Languages,Extraversion,Agreeableness,Openness,Conscientiousness,Neuroticism,Attendance %,Employeed
45,"$24,683.53 ",7.13,75.84,77.41,IT,,,6,Python,5,3,4,1,2,66,1
46,"$22,984.48 ",7.79,56.11,88.67,IT,,,6,Java,2,4,2,3,2,62,0
47,"$47,817.20 ",6.79,62.6,45.86,IT,,,7,C#,3,4,4,2,1,60,0
48,"$12,799.80 ",7.95,71.44,35.08,Civil,,,8,Java,2,3,3,3,2,58,1
49,"$12,069.40 ",6.18,81.05,47.28,IT,,,7,C++,3,5,2,2,1,62,0
50,"$43,263.48 ",5.3,77.99,53.6,IT,,,4,C++,3,3,2,3,5,68,0
51,"$20,400.29 ",5.02,78.9,50.17,IT,3,State,9,Python,5,5,5,2,2,61,1
52,"$12,466.68 ",5.21,85.3,40.77,IT,,National,4,Python,2,1,2,4,3,99,1
53,"$29,948.38 ",6.39,92.08,77.05,IT,0,State,5,Python,2,2,4,3,3,98,1
54,"$29,066.24 ",7.37,81.29,57.15,Biomedical,,,10,Python,5,3,2,5,2,50,1
55,"$27,953.25 ",8.41,75.11,88.37,Computer,,,8,Python,4,1,3,5,4,98,0
56,"$22,831.71 ",7.69,95.33,49.46,Biomedical,5,National,5,Java,5,1,1,2,3,56,0
57,"$35,717.80 ",9.28,59.48,53.32,Telecomm,0,,4,Python,5,4,3,3,4,90,0
58,"$43,110.95 ",8.45,65.19,85.81,IT,,,10,C++,1,3,2,2,2,99,1
59,"$34,555.36 ",5.63,98.4,79.19,Telecomm,,,9,Python,3,2,3,5,5,81,0
60,"$26,526.49 ",8.55,66.31,65.17,Electronics,,,6,C,3,4,3,1,3,50,0
61,"$18,159.00 ",6.33,50.58,51.76,Computer,,,4,Java,1,4,2,1,5,81,1
62,"$47,245.61 ",8.32,77.59,38.06,Civil,,,4,Python,5,2,1,5,5,71,1
63,"$42,543.80 ",5.31,38.7,59.73,Civil,,,8,C#,3,4,1,5,5,92,1
64,"$42,206.01 ",8.06,73,58.76,IT,,,8,C,1,3,4,3,2,80,0
65,"$17,081.05 ",6.48,47.02,93.16,Civil,,,3,Python,1,3,2,3,5,74,1
66,"$48,148.96 ",9.64,44.46,41.57,Computer,2,,3,Python,4,2,2,5,1,77,1
67,"$32,037.90 ",7.34,83.88,68.59,Telecomm,1,,10,C++,2,1,3,4,3,99,0
68,"$12,118.62 ",7.08,94.24,82.42,Electronics,,,5,C++,2,5,5,5,5,97,1
69,"$11,971.70 ",6.47,55.74,58.79,IT,,,9,C++,5,3,1,1,5,94,1
70,"$31,567.87 ",8.05,59.78,86.05,Electronics,5,,5,Java,1,5,5,1,5,77,0
71,"$47,303.52 ",5.84,69.33,40.36,Civil,,,7,Java,1,1,5,3,4,52,1
72,"$12,400.56 ",9.01,57.19,72.03,Computer,,,6,C,2,4,4,4,2,57,0
73,"$31,857.57 ",9.3,72.07,63.68,IT,5,,9,Java,2,5,3,5,2,82,1
74,"$25,291.60 ",9.64,81.77,62.25,IT,,,5,C#,5,1,2,3,4,78,0
75,"$38,855.36 ",7.58,65.22,75,IT,,,10,C++,2,3,2,3,5,75,0
76,"$40,997.62 ",8.76,97.7,92.12,Civil,,,9,Java,5,3,3,3,3,56,1
77,"$13,044.69 ",6.59,71.61,36.81,IT,,,7,Java,3,5,1,3,1,96,1
78,"$29,571.23 ",5.8,92.46,75.6,IT,,,9,Python,4,3,2,5,4,74,1
79,"$36,979.75 ",8.39,37.1,81.57,IT,,,5,Python,5,1,2,1,1,67,0
80,"$46,445.39 ",5.47,79.42,46.66,Biomedical,,,3,C,2,2,2,3,4,55,0
81,"$21,922.43 ",5.37,74.52,62.95,Biomedical,0,,4,C++,2,2,5,5,1,84,1
82,"$22,525.84 ",9.11,87.62,55.39,Electronics,,,5,Java,3,3,2,5,2,75,0
83,"$22,448.08 ",8.73,69.08,66.55,Computer,,,4,Python,1,4,1,1,5,90,1
84,"$15,568.18 ",6.25,74.41,74.64,Mechanical,,,3,Python,3,1,1,3,5,86,1
85,"$33,916.95 ",9.57,83.76,88.32,Telecomm,,National,7,C,1,4,3,1,4,88,0
86,"$44,205.85 ",5.28,97.92,69.67,Mechanical,,,4,Python,3,5,1,1,3,60,1
87,"$31,246.52 ",8.6,83.67,49.37,Telecomm,3,,5,C#,3,4,3,3,4,55,0
88,"$46,846.95 ",7.98,82.39,46.81,Electronics,,,6,C++,1,5,1,5,3,69,1
89,"$35,928.09 ",5.24,44.83,88.33,Mechanical,,,8,C++,1,4,1,4,1,89,1
90,"$45,196.44 ",8.15,72.8,61.64,IT,,,9,Java,3,5,4,3,1,84,0
91,"$30,494.41 ",6.46,80.97,55.06,Telecomm,,,9,Python,4,3,4,2,4,50,0
92,"$39,150.03 ",5.02,74.93,89.81,Civil,,,10,Python,1,4,3,3,2,80,1
93,"$27,985.09 ",9.6,42,44.64,Telecomm,,National,8,Python,3,2,1,5,2,80,1
94,"$45,938.47 ",8.39,58.26,61.91,Civil,,,8,Python,3,4,5,2,2,62,0
95,"$40,781.89 ",6.94,37.96,89.99,Biomedical,,National,4,Java,3,3,4,2,4,82,1
96,"$33,012.05 ",6.97,55.48,49.76,IT,,,3,C#,1,2,5,3,3,57,1
97,"$43,594.40 ",9.25,76.15,44.36,IT,,,6,Python,5,3,3,2,5,88,0
98,"$34,776.10 ",6.22,46.08,71.07,Electronics,,,10,Python,1,4,1,5,1,70,1
99,"$31,300.84 ",7.79,38.42,48.31,Electronics,,,10,Java,4,3,4,2,2,86,1
100,"$37,633.99 ",6.8,50.5,77.47,Computer,5,,10,Python,1,4,5,4,4,95,1
101,"$33,158.14 ",6.03,52.05,89.85,Electronics,,,4,C,3,2,1,5,3,83,1
102,"$40,172.48 ",6.45,51.1,69.12,Computer,,,8,Java,4,1,4,5,5,100,0
103,"$11,734.26 ",8.81,79.78,70.39,Mechanical,,,10,C#,1,5,2,1,4,69,1
104,"$41,681.51 ",9.25,74.4,39.38,Telecomm,,,7,C#,2,2,4,1,5,57,0
105,"$22,477.87 ",7.38,42.38,89.88,IT,,,9,C++,4,3,1,5,1,75,1
106,"$41,703.01 ",8.91,78.06,49.03,Telecomm,,,7,C#,4,1,2,5,4,81,1
107,"$41,891.38 ",8.5,42.81,39.01,Electronics,,,8,Java,5,2,2,2,1,81,1
108,"$43,090.65 ",5.36,39.65,69.52,Telecomm,4,,9,C++,1,3,3,3,4,93,1
109,"$38,483.11 ",7.31,83.91,64.31,Biomedical,,,10,C,5,3,3,5,3,62,1
110,"$46,782.63 ",6.22,83.89,75.14,Biomedical,,,4,Java,4,1,2,3,5,62,0
111,"$35,026.10 ",6.61,35.38,61.37,Mechanical,3,,3,Java,4,3,5,2,2,78,1
112,"$28,018.01 ",9.16,69.71,78.44,IT,5,,5,C#,1,2,4,2,3,69,0
113,"$47,918.49 ",5.95,87.03,59.56,Electronics,,,8,C#,5,3,3,5,4,98,1
114,"$17,174.75 ",8.22,70.22,74.49,Biomedical,,,3,Python,5,5,4,2,4,99,1
115,"$25,596.92 ",8.04,90.4,46.34,Mechanical,,,8,C,1,1,5,2,3,82,0
116,"$27,577.34 ",7.31,37.86,84.64,Computer,,,5,Java,5,3,1,4,3,87,0
117,"$31,874.22 ",9.13,75.31,74.42,Mechanical,,,6,C,3,5,3,4,2,90,0
118,"$10,964.80 ",8.18,76.7,82.95,Computer,4,,7,C#,3,1,4,3,3,83,1
119,"$37,448.91 ",7.18,39.05,87.56,IT,5,,3,C,4,2,2,4,5,78,1
120,"$16,902.73 ",6.11,67.76,65.89,IT,,,5,C++,3,3,4,4,3,56,1
121,"$37,025.18 ",5.78,80.38,46.5,Electronics,,International,8,Python,5,5,5,5,1,62,1
122,"$13,660.53 ",5.71,71.59,60.88,Civil,,,8,C++,5,2,3,5,3,70,0
123,"$31,736.25 ",6.24,62.55,89.42,Biomedical,,,5,C,3,1,2,3,3,78,1
124,"$24,938.88 ",6.25,47.47,53.41,IT,,,6,C#,1,1,4,1,3,59,1
125,"$18,514.68 ",6.3,95.6,85.81,IT,,,7,Java,4,3,3,3,3,76,1
126,"$45,337.41 ",8.03,46.85,58.95,Civil,,,6,C,4,4,4,1,1,92,0
127,"$31,342.06 ",6.91,88.55,49.57,Electronics,,,6,Java,3,2,2,3,4,78,1
128,"$46,230.24 ",5.97,82,83.45,IT,,,9,Java,1,4,2,1,5,61,1
129,"$25,354.88 ",9.38,89.63,46.87,IT,0,,8,C#,1,4,1,3,3,78,0
130,"$40,161.73 ",6.48,73.45,48.28,IT,,,5,C++,1,5,3,5,5,67,1
131,"$46,235.27 ",6.15,91.48,61.08,Civil,,,5,Java,1,2,5,4,2,88,1
132,"$31,847.18 ",7.28,76.92,46.71,Mechanical,,,3,C++,3,5,1,2,1,62,1
133,"$26,344.40 ",7.63,96.26,89.17,Biomedical,3,,5,Java,2,3,4,4,2,87,0
134,"$22,889.21 ",8.03,96.57,46.98,Electronics,,,7,C++,2,3,3,2,4,88,0
135,"$41,146.01 ",7.58,62.02,42.22,Mechanical,,,9,Java,4,3,1,3,5,92,1
136,"$29,460.12 ",6.88,56.94,63.75,IT,,,6,Java,4,3,5,5,1,75,0
137,"$30,839.86 ",8.04,81.68,63.63,Biomedical,2,,9,C++,5,2,1,5,2,64,0
138,"$32,349.29 ",6.09,46.48,74.74,Mechanical,5,National,10,Python,2,2,2,4,5,66,1
139,"$18,662.91 ",6.33,89.98,65.16,Electronics,,,4,C#,5,1,3,5,3,92,0
140,"$12,818.21 ",5.11,37.37,93.39,IT,,,7,Java,3,2,2,2,4,80,1
141,"$15,377.34 ",6.62,98.43,51.94,Biomedical,0,,7,Java,3,4,1,5,1,61,0
142,"$32,910.59 ",5.93,77.24,50.33,IT,,,3,C++,5,2,1,4,3,90,1
143,"$39,022.64 ",5.12,95.44,85.68,Civil,,,3,C++,1,2,1,2,3,82,0
144,"$15,234.81 ",7.57,92.93,55.69,Mechanical,5,,6,C,2,1,5,2,5,73,0
145,"$17,185.44 ",9.41,65.86,88.45,Electronics,,International,3,C,2,3,1,1,4,96,1
146,"$14,831.36 ",5.02,57.63,92.94,Electronics,,,7,C,3,4,4,2,3,74,0
147,"$46,629.35 ",7.61,57.13,86.95,Telecomm,,,5,C#,1,1,3,3,3,74,1
148,"$21,774.54 ",8.73,65.76,79.45,Mechanical,,National,7,C++,4,1,2,3,2,63,0
149,"$18,993.62 ",6.04,39.81,79.93,Biomedical,,,6,C++,4,5,5,1,1,70,0
150,"$48,720.16 ",6.33,70.41,41.91,Electronics,,,4,C#,5,1,5,1,5,85,1
151,"$19,737.90 ",8.95,36.63,66.09,Telecomm,3,,6,C#,2,3,1,4,5,77,0
152,"$25,382.96 ",8.34,54.1,68.67,Telecomm,,,5,C++,2,5,3,5,3,62,1
153,"$45,361.65 ",7.81,65.96,37.81,Civil,4,,4,C#,1,2,1,4,1,57,0
154,"$39,551.20 ",8.98,94.06,93.16,Electronics,,,6,C#,5,3,5,3,1,74,0
155,"$49,046.29 ",9.71,40.53,46.09,Telecomm,,,8,Java,2,1,4,2,4,54,0
156,"$25,517.22 ",8.06,46.24,47.66,IT,,,5,C,5,5,5,1,1,80,0
157,"$15,157.30 ",7.99,42.53,66.87,IT,,,10,Python,5,3,4,5,3,78,0
158,"$47,398.70 ",8.51,35.36,93.18,Civil,,,6,C,5,3,1,2,4,92,1
159,"$25,994.22 ",6.22,82.49,94.67,Computer,,,9,Java,3,4,2,5,4,57,1
160,"$37,721.28 ",7.64,88.09,84.38,Biomedical,,,6,C++,4,2,4,4,4,52,0
161,"$37,343.70 ",6.65,93.37,38.72,Telecomm,,,5,C++,4,1,4,3,4,67,0
162,"$23,657.62 ",7.13,62.29,35.79,IT,,,5,Java,1,3,4,1,3,61,0
163,"$47,550.56 ",5.07,81.33,73.92,Civil,,,9,C#,2,1,4,1,1,92,1
164,"$21,173.44 ",7.73,94.96,75.22,IT,,,3,Python,4,5,5,4,1,88,0
165,"$29,254.63 ",9.71,62.85,92.97,Biomedical,0,,5,C++,1,2,2,3,2,54,1
166,"$21,603.14 ",8.15,38.74,89.54,Telecomm,,State,8,C,4,5,5,5,5,85,0
167,"$40,397.77 ",8.21,44.17,92.45,Computer,,,7,C#,1,1,1,1,5,79,0
168,"$33,960.41 ",7.55,92.63,49.03,Computer,,,3,C,5,1,2,2,1,90,0
169,"$12,064.32 ",6.4,86.03,88.76,IT,,,10,Python,1,4,5,1,4,65,0
170,"$27,630.59 ",5.2,83.25,90.42,Computer,,,4,Java,4,2,2,2,5,85,1
171,"$15,966.20 ",9.89,43.23,83.88,IT,,,10,Java,1,1,5,1,1,99,1
172,"$42,896.90 ",7.56,84.6,75.88,Civil,,,10,C++,2,3,4,5,5,56,1
173,"$46,952.98 ",8.18,59.69,91.84,Civil,,,5,C++,5,2,2,3,5,98,1
174,"$48,765.98 ",9.86,68.14,57.03,IT,,,6,Python,4,5,1,4,1,65,1
175,"$12,949.76 ",6.81,78.82,76.42,Civil,,,3,C,3,5,5,2,3,64,1
176,"$28,754.09 ",7.57,74.88,36.47,Biomedical,,,10,C++,2,5,4,1,5,87,0
177,"$30,178.88 ",6.74,53.53,86.18,Civil,,,10,C++,1,5,1,4,1,84,1
178,"$29,414.87 ",7.01,71.05,68.82,Telecomm,,,4,Java,3,1,3,4,3,63,1
179,"$10,733.55 ",8.45,62.98,48.6,IT,2,,9,Java,1,2,5,5,5,100,0
180,"$24,410.75 ",7.14,90.32,39.23,Civil,,,6,C++,3,4,1,5,4,83,1
181,"$49,483.20 ",5.03,51.56,84.87,Biomedical,,,8,C#,3,5,5,1,3,55,1
182,"$42,925.48 ",6.96,58.72,53.27,Civil,,State,10,C++,1,3,5,2,3,56,0
183,"$16,167.74 ",5.64,59.79,46.24,Mechanical,4,National,8,C#,5,4,2,3,3,55,1
184,"$11,030.24 ",7.79,94.66,77.98,Mechanical,,,9,C,3,4,3,2,2,79,1
185,"$13,626.93 ",6.41,37.88,67.14,Computer,,,6,C#,2,2,3,2,2,54,1
186,"$22,346.26 ",7.84,98.25,65.9,Biomedical,,,3,C++,1,5,5,3,1,55,0
187,"$37,765.25 ",8.82,54.3,74.09,Computer,,,10,C#,5,5,2,4,5,64,1
188,"$18,106.66 ",5.56,83.5,84.73,Biomedical,,,3,C#,4,5,4,1,2,73,1
189,"$12,096.62 ",6.72,47.65,51.4,Biomedical,,,8,C,5,5,4,5,3,82,0
190,"$36,501.05 ",9.07,70.97,37.82,IT,,,3,C#,5,5,3,2,4,88,0
191,"$27,968.65 ",6.15,92.95,55.7,Mechanical,1,,4,C,5,4,1,2,5,70,1
192,"$20,908.75 ",7.06,90.25,68.85,Biomedical,,,3,Java,5,1,2,3,2,62,1
193,"$17,179.02 ",8.1,54.94,49.11,Electronics,,,7,C++,4,4,1,4,3,86,0
194,"$45,330.55 ",7.77,45.01,49.24,Mechanical,,,4,Python,5,5,5,5,5,72,1
195,"$20,402.49 ",8.64,63.41,63.1,Civil,,,4,Java,4,2,1,1,5,76,1
196,"$34,564.36 ",8.93,39.67,61.74,IT,,International,5,C,1,4,4,4,5,76,1
197,"$22,369.60 ",7.48,40.04,40.69,Computer,5,,4,C#,1,3,2,2,1,75,1
198,"$13,382.14 ",7.85,68.4,82.37,Computer,,,7,Python,3,2,2,3,5,52,0
199,"$47,540.62 ",5.81,67.54,71.96,Mechanical,5,,7,Python,3,2,4,3,2,76,0
200,"$12,287.22 ",9.65,84.84,42.52,IT,,,4,C#,4,4,4,5,4,85,0
201,"$11,103.42 ",7.29,36.73,72.04,Mechanical,,,5,C#,3,2,3,4,5,85,0
202,"$22,900.91 ",6.07,35.8,57.66,IT,,,3,C,1,1,2,1,5,63,0
203,"$14,893.41 ",7.68,50.43,74.25,Telecomm,,,9,C#,5,3,4,2,5,70,0
204,"$16,644.55 ",8.94,97.23,84.36,IT,5,,4,Java,3,4,2,1,3,98,0
205,"$33,606.15 ",6.44,66.63,58.91,Electronics,,,9,C#,4,2,5,2,5,95,0
206,"$28,013.13 ",6.32,35.13,87.49,Telecomm,,National,6,C,5,2,2,4,1,94,0
207,"$18,861.76 ",9.33,40.08,42.23,Electronics,,,5,C,2,4,3,4,4,51,1
208,"$28,593.51 ",7.2,61.76,70.86,Telecomm,,,6,C,3,1,1,3,4,98,0
209,"$15,013.96 ",5.19,77.28,52.76,Electronics,0,,9,Python,5,3,4,5,1,52,1
210,"$27,792.96 ",7.56,63.3,55.99,Civil,4,,10,Java,5,1,4,3,4,94,0
211,"$47,867.65 ",9.22,72.05,91.75,Telecomm,,,7,Java,3,3,5,3,1,67,1
212,"$38,883.24 ",5.88,50.9,93.54,IT,0,,3,Java,2,1,4,2,4,53,0
213,"$10,195.70 ",8.5,94.85,65.3,Telecomm,,,9,C#,1,4,1,4,3,70,0
214,"$42,796.16 ",6.34,86.56,76.56,Mechanical,4,,8,C,2,5,3,5,5,53,0
215,"$40,648.38 ",9.1,44.3,58.67,Biomedical,,,4,Python,4,4,3,3,3,57,0
216,"$24,953.68 ",9.94,73.02,85.98,Civil,,,10,C++,4,2,3,2,5,79,0
217,"$31,544.93 ",6.79,65.92,79.77,Electronics,,,10,C#,5,5,3,5,1,52,1
218,"$28,823.06 ",6.64,47.33,58.99,Civil,3,,4,C,4,3,4,1,4,57,0
219,"$31,277.01 ",9.41,57.81,82.32,Telecomm,,,4,Python,3,1,3,4,3,56,0
220,"$40,854.52 ",9.61,75.31,71.6,Mechanical,,,5,C,2,1,3,2,5,51,0
221,"$27,652.24 ",8.69,61.19,39.53,Civil,,,10,Python,5,1,2,1,2,73,1
222,"$45,981.59 ",7.77,36.03,63.65,Biomedical,,,4,C++,2,2,2,4,2,68,1
223,"$33,201.42 ",5.98,43.52,52.2,Electronics,,,3,C#,4,4,1,5,3,85,0
224,"$33,613.06 ",8.22,75.26,51.86,Telecomm,,,4,Python,4,3,4,1,5,94,0
225,"$37,692.18 ",6.65,39.88,53.5,Civil,,,10,C++,5,1,5,3,3,94,1
226,"$44,521.40 ",6.35,37.07,67.24,Telecomm,,,9,C#,5,5,5,2,3,64,1
227,"$16,232.45 ",5.21,98.98,71.45,IT,,,9,C,2,4,1,3,5,76,0
228,"$27,235.91 ",7.72,55.27,83.93,Telecomm,,,3,Java,3,3,2,3,3,65,0
229,"$21,336.46 ",6.23,46.11,43.66,Telecomm,4,,6,Python,2,1,2,4,2,51,0
230,"$49,893.01 ",5.96,57.13,83.85,Mechanical,,,4,C#,2,3,2,2,4,78,0
231,"$26,295.32 ",6.43,74.49,59.75,Mechanical,,,9,Python,1,3,3,3,4,95,1
232,"$11,391.37 ",7.82,98.16,68,IT,0,,9,Python,5,4,4,2,1,68,0
233,"$46,685.27 ",7.58,76.06,39.02,Telecomm,2,,6,Python,1,2,4,4,3,84,1
234,"$41,967.18 ",6.43,57.73,82.07,Biomedical,4,,8,C#,3,3,4,5,1,86,1
235,"$20,092.29 ",5.67,74.29,51.55,Computer,,,5,C++,2,1,3,1,4,71,0
236,"$18,494.73 ",8.33,41.83,91.69,Biomedical,0,,3,Python,4,3,1,1,4,82,1
237,"$15,687.22 ",5.83,88.83,35.64,Biomedical,,,7,Java,4,4,5,2,3,56,1
238,"$13,186.25 ",5.03,63.51,69.78,Civil,,,10,C#,2,2,1,4,2,60,0
239,"$17,638.54 ",9.08,61.49,54.91,IT,,,9,C#,1,5,3,5,4,89,1
240,"$38,918.59 ",8.66,82.62,54.54,IT,,,9,C,1,4,1,4,3,82,0
241,"$31,867.91 ",5.35,40.37,78.27,Biomedical,,National,7,C#,3,5,3,2,4,95,1
242,"$35,745.22 ",5.12,80.68,89.77,Civil,,,9,C#,2,3,1,3,3,55,1
243,"$13,915.12 ",9.84,63.15,91.82,Mechanical,,,10,C#,4,1,1,5,3,69,0
244,"$43,624.63 ",8.88,57.76,41.01,IT,,,8,C#,2,2,5,4,2,85,1
245,"$42,499.64 ",9.75,46.78,85.56,IT,,,10,C++,2,2,4,3,3,58,0
246,"$13,147.71 ",6.81,40.97,91.46,Civil,,,4,Java,3,2,2,5,5,86,0
247,"$44,142.85 ",5.03,53.27,38.17,IT,,National,7,C,3,5,3,4,3,57,0
248,"$37,399.72 ",7.05,97.2,60.59,Computer,,,3,C++,3,1,3,1,5,66,1
249,"$47,464.85 ",8.88,61.76,35.99,IT,,,6,C,4,5,4,1,4,63,1
250,"$30,862.99 ",6.01,40.57,42.45,IT,1,,9,C#,2,4,2,4,2,75,0
251,"$48,380.72 ",7.91,58.87,48.22,Biomedical,,State,9,C,2,1,2,5,1,95,1
252,"$32,575.13 ",6.74,53.07,70.54,Civil,,,9,Python,5,4,4,1,2,85,0
253,"$15,548.89 ",6,46.43,67.25,Telecomm,,,10,Java,1,4,3,4,5,57,1
254,"$16,275.96 ",5.03,59.93,91.48,Biomedical,,,4,C,2,5,4,2,2,54,0
255,"$19,170.09 ",7.89,53.48,46.68,Telecomm,,,9,Python,5,1,1,1,2,75,1
256,"$24,108.50 ",5.46,82.35,52.77,Electronics,,International,3,C#,3,2,4,5,1,83,1
257,"$18,498.87 ",8.2,74.64,68.82,IT,3,,8,C,5,5,2,1,4,73,1
258,"$45,862.28 ",9.1,92.88,69.96,Mechanical,,,9,C,5,5,3,2,2,50,1
259,"$28,009.26 ",9.87,72.43,38.68,Telecomm,,National,3,C,1,5,2,1,1,84,1
260,"$49,750.80 ",5.64,82.48,68.05,Computer,,,5,Python,5,3,2,3,1,78,1
261,"$36,678.37 ",9.55,78.25,60.16,Biomedical,,,7,C++,2,3,1,3,4,96,1
262,"$32,867.97 ",7.66,35.48,36.59,Computer,,,8,C++,5,5,3,5,2,93,1
263,"$49,949.71 ",5.58,58.53,72.6,Electronics,,,7,Java,3,4,5,5,5,96,0
264,"$32,418.45 ",9.26,68.47,47.44,Computer,2,International,7,Java,3,1,4,5,2,53,0
265,"$26,361.72 ",6.46,87.34,63.09,Telecomm,0,,8,C++,1,3,2,3,5,98,0
266,"$35,915.51 ",7.44,92.88,66.13,IT,,,3,C++,3,2,5,5,3,74,1
267,"$40,324.22 ",9.98,87.27,86.45,Mechanical,,,5,Java,4,3,1,2,4,75,1
268,"$24,603.15 ",9.16,61.3,77.87,IT,,,9,Python,3,1,4,5,1,50,1
269,"$33,309.12 ",8.79,77.55,54.92,Telecomm,3,,3,C,1,4,4,4,3,100,0
270,"$47,910.34 ",9.73,42.79,40.68,Computer,,,3,C,1,5,4,5,4,99,1
271,"$14,980.54 ",6.61,73.54,50.81,Telecomm,,,7,Java,5,4,2,4,1,64,1
272,"$30,759.20 ",7.87,79.17,90.75,Civil,,,8,C#,1,5,1,4,4,58,0
273,"$35,874.23 ",5.05,43.7,61.51,IT,,,5,Python,4,2,3,3,5,72,0
274,"$16,111.24 ",9.53,38.64,47.47,IT,,,4,C,3,5,3,4,2,97,0
275,"$26,205.07 ",9.2,66.8,36.46,IT,,,10,C++,3,2,1,1,5,87,1
276,"$13,494.37 ",5.27,40.76,74.8,Mechanical,,,4,Python,1,3,5,2,5,79,0
277,"$48,267.21 ",6.46,52.08,52.43,IT,,,5,C++,5,5,2,2,3,78,0
